ZipCode,RepCompanyName,TduCompanyName,RepCompany,Product,kwh500,kwh1000,kwh2000,kwh500_PerMo,kwh1000_PerMo,kwh2000_PerMo,PrePaid,Fixed,RateType,Renewable,TermTypeDesc,TermValue,TermType,CancelTypeDesc,CancelType,Website,SpecialTerms,TermsURL,FactsURL,PrepaidURL,Promotion,PromotionDesc
"","","SHARYLAND UTILITIES LP","Potentia Energy","Potentia Pure Green 24",0.1260,0.1060,0.1060,63.0000,106.0000,212.0000,False,1,"Fixed","100","Value","24","24","Value","250.00","https://www.potentiaenergy.com/residential.html","Enjoy our award-winning customer service - 2011 Better Business Bureau (BBB) Winner of Distinction. No e-billing or auto bill payment required. Now offering high consumption customers a credit of $9.99 each billing cycle. ","https://enrollment.potentiaenergy.com/Documents/RT121911BG.pdf","https://enrollment.potentiaenergy.com/Documents/SU_PPG24_1060_013012.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Direct Energy","Price Protection Plan 12",0.1059,0.0968,0.0923,52.9500,96.8000,184.6000,False,1,"Fixed","10","Value","12","12","Value","200.00","https://www.directenergy.com/EN/Texas/RES/Pages/TXEnrollment.aspx?offercd=PWR2CHSE&Program=TXRL354","- On-line enrollment only. - Lock in a great price and enjoy the peace of mind knowing your rates will not increase over the plan term. ","https://www.directenergy.com/DocFiles/DE_FV_TOS_EN_091211.pdf","https://www.directenergy.com/DocFiles/TXRL354_EFL_FV_ResEng021712.pdf","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","Reliant","Clear Flex Plan",0.1170,0.0870,0.0820,58.5000,87.0000,164.0000,False,0,"Variable","7","Value","0","0","Value","0.00","http://www.reliant.com/en_US/Page/Shop/Public/misc_Acq_ReTargeting.jsp?txtPromocode=WF3713&s.campaign=A3P_ERCOT_2010JulPTCOffers","$9.95/month base charge if usage falls below 800 kWh in a month. No base charge for usage greater than or equal to 800 kWh/month. The price can change as described by the formula in the Electricity Facts Label and to reflect actual price changes that are allowed by Public Utility Commission rules due to changes in law or regulatory charges. See reliant.com for more details. This offer is for new customers only who enroll through Power to Choose or by using special promo code; Promo Code Required: WF3713.","http://www.reliant.com/files/09017518806d9b7f.pdf","http://www.reliant.com/files/0901751880abad32.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","Amigo Energy","Amigo Essentials 18 Month",0.1170,0.0940,0.0930,58.5000,94.0000,186.0000,False,1,"Fixed","11","Value","18","18","Value","125.00","https://www.amigoenergy.com/Residential/PlansandPrices.aspx?pc=PTC&DUNS=007924772","This program includes additional fees. Please refer to the facts label for additional details. Call our New Customer Hotline 1-888-995-9299.","http://webs.amigoenergy.com/TOSYRAC/RES_TOS_ENG.pdf","http://webs.amigoenergy.com/EFLPDFs/ptc/AMI_Res_EFL_AEPC_Essen_18.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","Amigo Energy","Online 12-month Program",0.1150,0.0980,0.0970,57.5000,98.0000,194.0000,False,1,"Fixed","11","Value","12","12","Value","175.00","https://www.amigoenergy.com/Residential/PlansandPrices.aspx?pc=PTC&DUNS=007924772","Online enrollment, e-billing, and auto-draft are required. Call our New Customer Hotline 1-888-995-9299.","http://webs.amigoenergy.com/TOSYRAC/RES_TOS_ENG.pdf","http://webs.amigoenergy.com/EFLPDFs/ptc/AMI_Res_EFL_AEPC_Online_12.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Southwest Power & Light","Spirit of Texas Fixed 18 Month E-Plan",0.1200,0.0950,0.0900,60.0000,95.0000,180.0000,False,1,"Fixed","10","Value","18","18","Value","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","https://www.southwestpl.com/Docs/swpl-efl-fixed-18-nongreen.pdf","","False","No Promotion",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","True Electric","True Savings 3",0.1229,0.1030,0.1030,61.4500,103.0000,206.0000,False,1,"Fixed","0","Value","3","3","Value","49.99","www.trueelectric.com","No Special Terms","http://trueelectric.com/pdf/tos/2011-08-23-DRAFT-Residential-%20TRUE%20V%202.2.pdf","http://trueelectric.com/app/edi/pdf/programs/20120503_FIX3_TE.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Southwest Power & Light","14 Months Plant-A-Tree Renewable Fixed Rate E-Plan",0.0000,0.1080,0.1030,0.0000,108.0000,206.0000,False,1,"Fixed","100","Value","14","14","Value","175.00","http://www.southwestpl.com/SiteContent.aspx?cd=CPR01"," Every kilowatt hour you use goes toward planting a tree through the Arbor Day Foundation.  Improves our forest, rivers and wildlife while meeting your energy needs.  Sign-up today and protect Texas tomorrow!  Go to www.SouthwestPowerandLight.com.","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","http://www.southwestpl.com/Docs/swpl-efl-fixed-14-green-tree.pdf","","False","No Promotion",0
"","","AEP TEXAS NORTH COMPANY","StarTex Power ","Secure 6",0.1150,0.1120,0.1110,57.5000,112.0000,222.0000,False,1,"Fixed","9","Value","6","6","Value","150.00","http://www.startexpower.com","Texans Serving Texans!  Check out our other great rates available!  www.StarTexPower.com ","https://www.startexpower.com/tos/TOS-TFD4440A.pdf","https://www.startexpower.com/efl/EFL-EUF6ND4504SA-WTU-Fixed-6-20120501.pdf","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","YEP","9 Month Fixed Rate Guaranteed E-Plan ",0.1200,0.0980,0.0950,60.0000,98.0000,190.0000,False,1,"Fixed","10","Value","9","9","Value","175.00","http://www.yeptexas.com","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","http://www.yeptexas.com/Docs/yep-efl-fixed-9-nongreen.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","BOUNCE ENERGY","Bounce 24 + DIRECTV Bundle",0.1360,0.1120,0.1080,68.0000,112.0000,216.0000,False,1,"Fixed","20","Value","24","24","Value","250.00","http://www.bounceenergy.com/texas/electricity-directv-bundle/msid/51","*Exclusive offer from Bounce Energy and DIRECTV. *Lock in for 24 months *Watch 210+ DIRECTV channels with plans starting at $34.99. *Earn $390 in bill credits and rewards ($5/month on your electricity bill for 24 months and $5/month on your DIRECTV bill for 24 months + $150 in loyalty rewards).","http://www.bounceenergy.com/terms-of-service-fixed.pdf","http://www.bounceenergy.com/efls/bounce24.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Southwest Power & Light","12 Months Plant-A-Tree Fixed Rate E-Plan",0.1160,0.0910,0.0860,58.0000,91.0000,172.0000,False,1,"Fixed","10","Value","12","12","Value","175.00","http://www.southwestpl.com/SiteContent.aspx?cd=CPR01"," Every kilowatt hour you use goes toward planting a tree through the Arbor Day Foundation.  Improves our forest, rivers and wildlife while meeting your energy needs.  Sign-up today and protect Texas tomorrow!  Go to www.SouthwestPowerandLight.com ","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","https://www.southwestpl.com/Docs/swpl-efl-fixed-12-nongreen-tree.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","Texas Power","Texas Power 12 Month Fixed Price Plan",0.1224,0.1024,0.1024,61.2000,102.4000,204.8000,False,1,"Fixed","10","Value","12","12","Value","150.00","http://www.texaspoweronline.com","No Special Terms","http://www.texaspoweronline.com/content/forms/TXP_TOS.pdf","http://www.texaspoweronline.com/content/forms/12MonthFixed/RES_EFL_TCC_12Fxd.pdf","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","Frontier Utilities","SuperLock 12",0.1180,0.1050,0.1030,59.0000,105.0000,206.0000,False,1,"Fixed","6","Value","12","12","Value","150.00","https://www.my-frontieronline.net/SelfEnrollment/Default.aspx?pc=&zc=&DC=TX&tc=TNMP","No Special Terms","http://frontierutilities.com/Documents/TOS_FU_111111_EN.pdf","http://frontierutilities.com/Documents/EFL_FU_SL12_030912_EN.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","YEP","24 Month Operation USO Support Our Troops Fixed Rate E-Plan ",0.1250,0.1000,0.0950,62.5000,100.0000,190.0000,False,1,"Fixed","10","Value","24","24","Value","175.00","http://www.yeptexas.com/","YEP has partnered with the USO to enable you to support our military personnel currently serving our country, both abroad and domestically. For every six months that you are enrolled in an Operation USO Support Our Troops E-Plan, YEP will donate a care package to be assembled and delivered by the USO to active service men and women. USO Care Packages provide our troops with some comforts from home and frequently requested items, including prepaid international phone cards, disposable cameras, toiletries, sunscreen, snacks, and letters of gratitude from members of the American public for the troops commitment and service time. Your enrollment in this plan allows you to send necessities to our troops and provide a much-needed morale boost to our troops simply through your daily routine.","https://www.yeptexas.com/Docs/yep-tos-fixed.pdf","https://www.yeptexas.com/Docs/yep-efl-fixed-24-nongreen-uso.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","TriEagle Energy","Green Eagle 18",0.1100,0.1050,0.1020,55.0000,105.0000,204.0000,False,1,"Fixed","100","Value","18","18","Text","$20.00 per month left in term","https://www.trieagleenergy.com/residential/default.aspx?utm_source=PowerToChoose&utm_medium=ptc&utm_term=G18%2Bmonth&utm_campaign=PowerToChoose","Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas.  Rest Easy - TriEagle will never sell your private AMS usage history to any third parties.<br />","http://www.trieagleenergy.com/docs/tos.pdf","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-G-18mo.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","Texpo Energy","Try Us Out Plan",0.1400,0.1150,0.1100,70.0000,115.0000,220.0000,False,0,"Variable","10","Value","0","0","Text","$0.00","http://www.texpoenergy.com","No Special Terms","http://www.texpoenergy.com/Docs/texpo-tos-flex.pdf","http://www.texpoenergy.com/Docs/texpo-efl-flex-nongreen.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Entrust Energy","Entrust Monthly",0.1050,0.0950,0.0910,52.5000,95.0000,182.0000,False,0,"Variable","11","Value","0","0","Value","0.00","http://www.entrustenergy.com/enrollments/powertochoose","Take advantage of our month-to-month plan without entering into a long-term contract. Experience our outstanding customer service and give Entrust Energy a try. Plus, there are no early termination penalties. It's time for a change! For more information, please visit www.entrustenergy.com, call us toll-free at 1.800.871.8100, or email us at customercare@entrustenergy.com.","http://www.entrustenergy.com/files/uploads/terms_of_service/email/english/Entrust_Energy_Terms_of_Service_02_06012_English2.pdf","http://www.entrustenergy.com/files/uploads/electricity_facts_label/english/TXN2V1024_EntrustMonthly_CenterPoint_9_1_English_040412.pdf","","False","No Promotion",0
"","","AEP TEXAS NORTH COMPANY","Potentia Energy","Potentia No Credit Check 6",0.1140,0.0940,0.0940,57.0000,94.0000,188.0000,False,1,"Fixed","6","Value","6","6","Value","150.00","http://www.potentiaenergy.com/registration-select-your-plan.php?zone=WTU","Don't want to hassle with credit check? Try our newest product, Potentia No Credit Check 6! Enjoy our award-winning customer service - 2011 Better Business Bureau (BBB) Winner of Distinction. Also offering high consumption customers a credit of $9.99 each billing cycle. Please see TOS & EFL for more information.","http://www.potentiaenergy.com/plan_pdfs/new_mep/RT010412NCC.pdf","http://www.potentiaenergy.com/plan_pdfs/new_mep/WTU_PNCC6_940_043012.pdf","","False","No Promotion",0
"","","AEP TEXAS NORTH COMPANY","Ambit Energy ","Ambit Certified Green-1 Year Term ",0.1200,0.0970,0.0960,60.0000,97.0000,192.0000,False,1,"Fixed","100","Value","12","12","Value","199.00","http://www.myambit.com?pmc=P2C","E-plan discount eligible product. Ambit Energy's E-Plan provides additional savings on our competitive rates and makes managing your account even easier. Just enroll in our Paperless Billing and Automatic Payment programs when you sign up for new service and you're done! See Electricity Facts Label for discount information and enrollment requirements.","http://www.ambitenergy.com/mediaserver/media/get/TexasTermsOfService","http://www.ambitenergy.com/mediaserver/media/get/ACG1YTRG12_1_279_1","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","Southwest Power & Light","Renewable Healthy Heart Of Texas Fixed Rate E-Plan ",0.1120,0.0900,0.0870,56.0000,90.0000,174.0000,False,1,"Fixed","100","Value","12","12","Value","175.00","http://www.southwestpl.com/","Sign up and receive Southwest's Lone Star Guaranty!","http://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","http://www.southwestpl.com/Docs/swpl-efl-fixed-12-green.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","TriEagle Energy","Eagle 12",0.1030,0.0980,0.0950,51.5000,98.0000,190.0000,False,1,"Fixed","4","Value","12","12","Text","$20.00 per month left in term","https://www.trieagleenergy.com/residential/default.aspx?utm_source=PowerToChoose&utm_medium=ptc&utm_term=12%2Bmonth&utm_campaign=PowerToChoose","Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas.  Rest Easy - TriEagle will never sell your private AMS usage history to any third parties.<br />","http://www.trieagleenergy.com/docs/tos.pdf","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-12mo.pdf","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","Southwest Power & Light","Plant-A-Tree Month to Month E-Plan",0.1050,0.0830,0.0800,52.5000,83.0000,160.0000,False,0,"Variable","10","Value","0","0","Value","0.00","http://www.southwestpl.com/SiteContent.aspx?cd=CPR01"," Every kilowatt hour you use goes toward planting a tree through the Arbor Day Foundation.  Improves our forest, rivers and wildlife while meeting your energy needs.  Sign-up today and protect Texas tomorrow!  Go to www.SouthwestPowerandLight.com.","http://www.southwestpl.com/Docs/swpl-tos-flex.pdf","https://www.southwestpl.com/Docs/swpl-efl-flex-pr-nongreen-tree.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Discount Power","Super Fixed Rate - 60 Month",0.1650,0.1250,0.1210,82.5000,125.0000,242.0000,False,1,"Fixed","0","Value","60","60","Value","149.00","http://www.discountpower.biz","Required: Online Enrollment, Personal Credit Check, Paperless Billing and Auto-Debit via Credit Card.(See Facts Label.)","https://www.discountpower.biz/pdf/Discount Power TOS-20120401.pdf","https://www.discountpower.biz/pdf/EFL%2060%20months%2012.5%20cents%20Ver.SFR6020120401.pdf","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","Direct Energy","Direct Energy Liberty Plan",0.0960,0.0860,0.0820,48.0000,86.0000,164.0000,False,0,"Variable","10","Value","0","0","Value","0.00","https://www.directenergy.com/EN/Texas/RES/Pages/TXEnrollment.aspx?offercd=PWR2CHSE&Program=VNMP0107","The Direct Energy Liberty Plan is a great option for customers looking for a no-contract electricity plan. Customers can take advantage of a low rate while natural gas prices are low and have the freedom to switch to one of Direct Energys fixed price plans at any time. ","https://www.directenergy.com/DocFiles/DE_VAR_TOS_EN_091211.pdf","https://www.directenergy.com/DocFiles/VNMP0107_EFL_Var_ResEng021712.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","Liberty Power","Home Independence Plan",0.1360,0.1220,0.1150,68.0000,122.0000,230.0000,False,1,"Fixed","2","Value","24","24","Text","Yes, please see terms & condit","http://www.libertypowercorp.com","Gross Receipt Tax (GRT) and applicable Sales Tax are not included.","http://www.libertypowercorp.com/LPT_HOMEIP_Contract.pdf","http://www.libertypowercorp.com/LPT_EFL_RES_24.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","CPL Retail Energy","CPL Prepaid",0.1090,0.0990,0.0940,54.5000,99.0000,188.0000,True,0,"Variable","10","Value","0","0","Value","0.00","https://www.cplretailenergy.com/EN/CPL-Prepaid/Pages/TXEnrollment.aspx?offercd=PWR2CHSE","SIGN UP NOW! CPL Prepaid lets you buy your electricity as you need it. No deposit, no credit check and no contract term commitments! Make payments when it's convenient for you, instead of paying one monthly bill. You are eligible for this product if have an Advanced Meter installed by your TDU and are within CPL Retail Energy service territory. CPL Retail Energy cannot offer this product to customers who are designated critical care or who are seriously ill. ","https://www.directenergy.com/DocFiles/CPL_Prepaid_TOS_EN_110111.pdf","https://www.directenergy.com/DocFiles/PTGAPC003_EFL_EN_061711.pdf","https://www.directenergy.com/DocFiles/CPL_PDS_EN_020812.pdf","False","No Promotion",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","Reliant","Secure Advantage-6",0.1030,0.0770,0.0730,51.5000,77.0000,146.0000,False,1,"Fixed","20","Value","6","6","Value","150.00","http://www.reliant.com/en_US/Page/Shop/Public/misc_Acq_ReTargeting.jsp?txtPromocode=WF3713&s.campaign=A3P_ERCOT_2010JulPTCOffers","$9.95/month base charge if usage falls below 800 kWh in a month. No base charge for usage greater than or equal to 800 kWh/month. The price can change as described by the formula in the Electricity Facts Label and to reflect actual price changes that are allowed by Public Utility Commission rules due to changes in law or regulatory charges. See reliant.com for more details. This offer is for new customers only who enroll through Power to Choose or by using special promo code; Promo Code Required: WF3713.","http://www.reliant.com/files/09017518806d9b7f.pdf","http://www.reliant.com/files/0901751880abad12.pdf","","False","No Promotion",0
"","","SHARYLAND UTILITIES LP","First Choice Power","First Choice Advantage Flex",0.1450,0.1320,0.1300,72.5000,132.0000,260.0000,False,0,"Variable","11","Value","0","0","Value","0.00","http://www.firstchoicepower.com/power-to-choose-m","No Special Terms","https://webportal.billvantage.com/fcp/Archive/fcpratedocs.aspx?doc=TOS_M409-11_RES_20110601.pdf","https://webportal.billvantage.com/fcp/Archive/fcpratedocs.aspx?doc=EFL_M40923S04_20111101.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Potentia Energy","Potentia Peace of Mind 18 ",0.1250,0.1060,0.1060,62.5000,106.0000,212.0000,False,1,"Fixed","6","Value","18","18","Value","200.00","https://www.potentiaenergy.com/residential.html","Enjoy our award-winning customer service - 2011 Better Business Bureau (BBB) Winner of Distinction. No e-billing or auto bill payment required. Now offering high consumption customers a credit of $9.99 each billing","https://enrollment.potentiaenergy.com/Documents/RT121911B.pdf","https://enrollment.potentiaenergy.com/Documents/CNP_PPOM18_1060_043012.pdf","","False","No Promotion",0
"","","AEP TEXAS NORTH COMPANY","YEP","Guaranteed Savings & No Long Term Commitment E-Plan",0.1100,0.0830,0.0770,55.0000,83.0000,154.0000,False,0,"Variable","10","Value","0","0","Text","$0.00","http://www.yeptexas.com","No Special Terms","http://www.yeptexas.com/Docs/FFF%20-%20YEP%27S%20TOS%20-%20YEPRESFLEX%20060107B.pdf","https://www.yeptexas.com/Docs/yep-efl-flex-pr-nongreen.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","APNA Energy ","APNA Fixed 12",0.1180,0.0980,0.0980,59.0000,98.0000,196.0000,False,1,"Fixed","7","Value","12","12","Value","150.00","https://www.apnaenergy.com/Enroll/EnrollRequest.aspx"," No Credit Card Payment Fees or Hidden Costs Free 24/7 Online Payment Option. ","http://www.apnaenergy.com/Docs/tosr0910-7.pdf","https://www.apnaenergy.com/Docs/apna-12month-fixed.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Reliant","Clear Flex Plan",0.1190,0.0900,0.0850,59.5000,90.0000,170.0000,False,0,"Variable","7","Value","0","0","Value","0.00","http://www.reliant.com/en_US/Page/Shop/Public/misc_Acq_ReTargeting.jsp?txtPromocode=WF3713&s.campaign=A3P_ERCOT_2010JulPTCOffers","$9.95/month base charge if usage falls below 800 kWh in a month. No base charge for usage greater than or equal to 800 kWh/month. The price can change as described by the formula in the Electricity Facts Label and to reflect actual price changes that are allowed by Public Utility Commission rules due to changes in law or regulatory charges. See reliant.com for more details. This offer is for new customers only who enroll through Power to Choose or by using special promo code; Promo Code Required: WF3713.","http://www.reliant.com/files/09017518806d9b7f.pdf","http://www.reliant.com/files/0901751880abb6fd.pdf","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","Just Energy","Texas Saver",0.1140,0.1050,0.1010,57.0000,105.0000,202.0000,False,0,"Variable","1","Value","1","1","Value","0.00","http://www.justenergy.com/p/ptc/index.html?referID=ptc-tx-nmpctnmp-justenergylink-texassaver&utm_source=powertochoose&utm_medium=online-marketplaces&utm_content=nmpc-tnmp&utm_campaign=texassaver","No Special Terms","http://www2.justenergy.com/download_texas_document.html?file=dHlwZT1HeUlOdTA2M0pDbyUzRCZtYXJrZXQ9bFZGV09xY2dVaTglM0QmdGRzcD0ySGNEeHp6M3dTWSUzRCZkaXN0cmlidXRvcj0wbmZyV2pDU2hkMmF5NzYlMkZ1MUl6bnclM0QlM0QmcHJvZHVjdD1LQVRUR2JQa1dhJTJCNHU1V1Y5NmFPT2FYMEQxbXB6M","http://www2.justenergy.com/download_texas_document.html?file=dHlwZT10REdBWDh3d255TSUzRCZtYXJrZXQ9bFZGV09xY2dVaTglM0QmdGRzcD0ySGNEeHp6M3dTWSUzRCZkaXN0cmlidXRvcj0wbmZyV2pDU2hkMmF5NzYlMkZ1MUl6bnclM0QlM0QmcHJvZHVjdD1LQVRUR2JQa1dhJTJCNHU1V1Y5NmFPT2FYMEQxbXB6M","","True","First billing cycle rate is 7.5¢ ",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","Tara Energy","Paperless e-Plan Fixed - 24 Months ",0.1050,0.0890,0.0880,52.5000,89.0000,176.0000,False,1,"Fixed","11","Value","24","24","Value","250.00","http://www.taraenergy.com/Tara06/view+plans+and+prices.aspx?DUNS=1039940674000&promocode=PTCFIXED","Online enrollment, e-billing, and auto-draft are required. ","http://www.taraenergy.com/WE/PDFRightsTerms/RES_TOS_ENG_TE.pdf","http://www.taraenergy.com/taraptcefls/TE_Res_EFL_Oncor_Paperless_24.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","Texas Power","Texas Power Month-to-Month Variable Rate Plan",0.1774,0.1574,0.1574,88.7000,157.4000,314.8000,False,0,"Variable","10","Value","1","1","Value","0.00","http://www.texaspoweronline.com","No Special Terms","http://www.texaspoweronline.com/content/forms/TXP_TOS.pdf","http://www.texaspoweronline.com/content/forms/Variable/RES_EFL_TCC_VAR.pdf","","False","No Promotion",0
"","","SHARYLAND UTILITIES LP","StarTex Power ","Star ""Secure"" 2 Year Plan",0.1060,0.1060,0.1060,53.0000,106.0000,212.0000,False,1,"Fixed","9","Value","24","24","Value","250.00","http://www.startexpower.com","Texans Serving Texans!  Check out our other great rates available!  www.StarTexPower.com ","https://www.startexpower.com/tos/TOS-TFD4440A.pdf","https://www.startexpower.com/efl/EFL-ESF24ND4504SA-Sharyland-Fixed-24-20120501.pdf","","False","No Promotion",0
"","","AEP TEXAS NORTH COMPANY","Reliant ","Secure Advantage-6",0.1180,0.0880,0.0820,59.0000,88.0000,164.0000,False,1,"Fixed","20","Value","6","6","Value","150.00","http://www.reliant.com/en_US/Page/Shop/Public/misc_Acq_ReTargeting.jsp?txtPromocode=WF3713&s.campaign=A3P_ERCOT_2010JulPTCOffers","$9.95/month base charge if usage falls below 800 kWh in a month. No base charge for usage greater than or equal to 800 kWh/month. The price can change as described by the formula in the Electricity Facts Label and to reflect actual price changes that are allowed by Public Utility Commission rules due to changes in law or regulatory charges. See reliant.com for more details. This offer is for new customers only who enroll through Power to Choose or by using special promo code; Promo Code Required: WF3713.","http://www.reliant.com/files/09017518806d9b7f.pdf","http://www.reliant.com/files/0901751880abad24.pdf","","False","No Promotion",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","Direct Energy","Price Protection E-Plan 24",0.1100,0.0870,0.0860,55.0000,87.0000,172.0000,False,1,"Fixed","0","Value","24","24","Value","300.00","https://www.directenergy.com/EN/Texas/RES/Pages/TXEnrollment.aspx?offercd=PWR2CHSE&Program=EONC2121","Receive E-Bills and E-Correspondence for discount of 0.5 cents per kWh. No enrollment fee. Multiple payment options.","https://www.directenergy.com/DocFiles/DE_FV_TOS_EN_091211.pdf","https://www.directenergy.com/DocFiles/EONC2121_English_WITHminimum021712.pdf","","False","No Promotion",0
"","","AEP TEXAS CENTRAL COMPANY","BOUNCE ENERGY","Express Move 12",0.1330,0.1090,0.1050,66.5000,109.0000,210.0000,False,1,"Fixed","0","Value","12","12","Value","200.00","http://www.bounceenergy.com/texas/moving12/msid/51","*Perfect plan for movers who want to lock in for 12 bills. *Call 1-866-962-6862 to order. *Receive a $25 Restaurant.com gift card as a housewarming gift. *Receive additional moving services such as mover quotes, change of address, do-not-mail and do-not-call registration. *Your choice of 4 rewards programs.","http://www.bounceenergy.com/terms-of-service.pdf","http://www.bounceenergy.com/efls/expressmove12-042712.pdf","","False","No Promotion",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","Amigo Energy","GoGreen - 100% Renewable Energy",0.1050,0.0890,0.0880,52.5000,89.0000,176.0000,False,1,"Fixed","100","Value","12","12","Value","175.00","https://www.amigoenergy.com/Residential/PlansandPrices.aspx?pc=PTC&DUNS=1039940674000","No Special Terms. Call our New Customer Hotline 1-888-995-9299.","http://webs.amigoenergy.com/TOSYRAC/RES_TOS_ENG.pdf","http://webs.amigoenergy.com/EFLPDFs/ptc/AMI_Res_EFL_Oncor_Green_12.pdf","","False","No Promotion",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","BOUNCE ENERGY","Smart Saver",0.1180,0.0970,0.0940,59.0000,97.0000,188.0000,False,0,"Variable","0","Value","1","1","Value","0.00","http://www.bounceenergy.com/texas/low-rate-electricity/msid/51","*Flexible month-to-month rate *No contract commitment & No early termination fee. *Guarantee that price won't increase more than 10% in any month and no limit to how much the price can decrease. *Rewards Program. Earn bill credits, airfare, free electricity, and more.","http://www.bounceenergy.com/terms-of-service-variable.pdf","http://www.bounceenergy.com/efls/smartsaver.pdf","","False","No Promotion",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","YEP","24 Month Fixed Rate E-Plan ",0.1080,0.0860,0.0830,54.0000,86.0000,166.0000,False,1,"Fixed","10","Value","24","24","Value","175.00","http://www.yeptexas.com/","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","http://www.yeptexas.com/Docs/yep-efl-fixed-24-nongreen.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Southwest Power & Light","6 Months Plant-A-Tree Fixed Rate E-Plan",0.1170,0.0920,0.0870,58.5000,92.0000,174.0000,False,1,"Fixed","10","Value","6","6","Value","175.00","http://www.southwestpl.com/SiteContent.aspx?cd=CPR01"," Every kilowatt hour you use goes toward planting a tree through the Arbor Day Foundation.  Improves our forest, rivers and wildlife while meeting your energy needs.  Sign-up today and protect Texas tomorrow!  Go to www.SouthwestPowerandLight.com ","https://www.southwestpl.com/Docs/swpl-tos-fixed.pdf","http://www.southwestpl.com/Docs/swpl-efl-fixed-6-nongreen-tree.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","Mega Energy, LP","Mega Variable ebill Plan",0.1020,0.0730,0.0730,51.0000,73.0000,146.0000,False,0,"Variable","0","Value","0","0","Value","0.00","http://www.mymegaenergy.com","This plan requires internet enrollment, electronic delivery of documents, and email delivery of monthly bill.","http://www.mymegaenergy.com/files/uploads/terms_of_service/Res_TOSV_11_10_20110.pdf","http://www.mymegaenergy.com/files/uploads/electricity_facts_label/MVRP_CNP_04_19_20120.pdf","","False","No Promotion",0
"","","AEP TEXAS NORTH COMPANY","YEP","24 Month Green Earth 100% Renewable E-Plan With Fixed Term ",0.1220,0.0950,0.0890,61.0000,95.0000,178.0000,False,1,"Fixed","100","Value","24","24","Value","175.00","http://www.yeptexas.com/","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","http://www.yeptexas.com/Docs/yep-efl-fixed-24-green.pdf","","False","No Promotion",0
